checkpoint_step,wandb_metric_step,wandb_train_loss,wandb_grad_norm,wandb_param_norm,evaluated_frames,test_flow_loss,action_norm_mae,action_norm_rmse,joint_chunk_mae_rad,joint_chunk_rmse_rad,gripper_chunk_mae,gripper_chunk_rmse,joint_first_mae_rad,joint_first_rmse_rad,gripper_first_mae,gripper_first_rmse,evaluation_seconds
5000,5000,0.0422395989,0.4476093054,1804.009277,4036,0.04538284325021494,0.13861840523712934,0.28704121765089224,0.024837107261246973,0.05157951483484909,0.050328174463082825,0.14273529410744046,0.008175895065037552,0.01430501758762624,0.028745049313984524,0.07578056177308715,279.83284544699995
10000,10000,0.0268679224,0.3221997619,1804.290894,4036,0.03856862828788985,0.1228397024738186,0.25987937057833543,0.022211347722676394,0.046383981101828134,0.03543984750941086,0.11481407287489379,0.007311159750528694,0.013233145026285035,0.01751852778503736,0.04653320436275458,275.1036093550001
15000,15000,0.0256820712,0.3209120929,1804.516235,4036,0.03603411306580021,0.1195108908092893,0.2557841608164405,0.02150717277048702,0.04500749911514828,0.03390920088248931,0.11841284810446062,0.00705183966186319,0.012576895558690132,0.014190484070227407,0.03482439716632685,276.788920385
20000,20000,0.0218417067,0.3193037212,1804.67334,4036,0.03640619012987752,0.11091143565826539,0.2357617469328837,0.019834445552584234,0.04050078116690095,0.030643493320508624,0.10935125977031764,0.006571154990426655,0.01164345470506601,0.012401220405786284,0.03183225133495609,276.630149222
25000,25000,0.0199461244,0.3133478463,1804.765625,4036,0.03463459089822971,0.10449633048136596,0.2259297096521564,0.018666835000777267,0.03853177251597654,0.027028319845299124,0.10321262160060508,0.006157241791748349,0.011056222571842354,0.011165107487090766,0.026875534066187538,276.504831103
30000,30000,0.0159128048,0.292876631,1804.810303,4036,0.035244397176115806,0.10402796234496167,0.22246510096383296,0.0187172596612514,0.038331700559451426,0.026816895917405045,0.10064667087022977,0.006157140460081053,0.01084826738753933,0.011003281743929337,0.021241208398464412,283.2637629789997
35000,35000,0.0148990154,0.2935161889,1804.828125,4036,0.03665236641114764,0.09976197653796202,0.21538633045769845,0.018049432588766238,0.037284224354236346,0.02228355978138383,0.09050055636171143,0.005963137491737903,0.010653096396646224,0.00839063969574134,0.020018029899087804,277.993542573
39999,39900,0.012206113,0.2686185539,1804.835938,4036,0.03774014336589587,0.09686356707004419,0.2096610029142031,0.017566766385128794,0.036324707706914865,0.021997439336655635,0.09093266597895555,0.00583330299241122,0.010445710163181965,0.008457881256470012,0.01971651302659875,278.67436979800004
