checkpoint_step,evaluated_frames,test_flow_loss,action_norm_mae,action_norm_rmse,joint_chunk_mae_rad,joint_chunk_rmse_rad,gripper_chunk_mae,gripper_chunk_rmse,action_prefix_norm_mae,action_prefix_norm_rmse,joint_prefix_mae_rad,joint_prefix_rmse_rad,gripper_prefix_mae,gripper_prefix_rmse,joint_first_mae_rad,joint_first_rmse_rad,gripper_first_mae,gripper_first_rmse,evaluation_seconds
4000,4718,0.02399983080731718,0.09344437972323881,0.20332514359472886,0.022966374248520695,0.050321572872268135,0.030158310136258373,0.10358849507001897,0.09344437972323881,0.20332514359472886,0.022966374248520695,0.050321572872268135,0.030158310136258373,0.10358849507001897,0.005420792392164979,0.00979014250412396,0.02849433002002528,0.08420197199330462,372.3586622630246
8000,4718,0.027751387992456095,0.08388453735265251,0.19441544797615706,0.020720453083800324,0.04827532691391258,0.022726704406063655,0.08859173492038787,0.08388453735265251,0.19441544797615706,0.020720453083800324,0.04827532691391258,0.022726704406063655,0.08859173492038787,0.004667350831394488,0.00865220034333321,0.019374605452412073,0.06550032497421077,310.6037719757296
12000,4718,0.03275036343869616,0.07750996491978764,0.18274254121481306,0.01930499981470893,0.045649352489587,0.019172416847229205,0.08210683683488543,0.07750996491978764,0.18274254121481306,0.01930499981470893,0.045649352489587,0.019172416847229205,0.08210683683488543,0.004240882889605815,0.008163770121612946,0.014359899959990841,0.054700196847847465,310.8607375193387
16000,4718,0.0392382287509951,0.07503473575259731,0.17806918719735448,0.018793256685777544,0.044720148241744265,0.01789425158128616,0.08178136530765365,0.07503473575259731,0.17806918719735448,0.018793256685777544,0.044720148241744265,0.01789425158128616,0.08178136530765365,0.004116069131474365,0.008000699202809089,0.013201370754963377,0.05674637579294652,310.48831099271774
19999,4718,0.045016282443241414,0.07495260889523107,0.17837565630254104,0.01880413731136552,0.04490739545456737,0.01803026049744911,0.08240743237424371,0.07495260889523107,0.17837565630254104,0.01880413731136552,0.04490739545456737,0.01803026049744911,0.08240743237424371,0.00406380434328954,0.007873104885963567,0.012802739400059717,0.056951560560829416,311.02461639465764
