checkpoint_step,evaluated_frames,test_flow_loss,action_norm_mae,action_norm_rmse,joint_chunk_mae_rad,joint_chunk_rmse_rad,gripper_chunk_mae,gripper_chunk_rmse,action_prefix_norm_mae,action_prefix_norm_rmse,joint_prefix_mae_rad,joint_prefix_rmse_rad,gripper_prefix_mae,gripper_prefix_rmse,joint_first_mae_rad,joint_first_rmse_rad,gripper_first_mae,gripper_first_rmse,evaluation_seconds
10000,10584,0.026172279616647476,0.12238477140056844,0.26729894224630074,0.02002027573846558,0.04281181498973057,0.05385254017293498,0.18391669082617274,0.12238477171143167,0.26729894226104867,0.02002027572237535,0.042811815041877845,0.05385253984010859,0.18391669128711557,0.004784764605938854,0.008452559130463833,0.027981010402918133,0.10968142465993895,221.29793281992897
20000,10584,0.022750220299386562,0.10824748060059926,0.24166925428903194,0.017598861066533814,0.03792191952729677,0.04463164723750685,0.16265519578412818,0.10824748083036773,0.24166925370529577,0.01759886113861804,0.0379219195587214,0.04463164701618575,0.1626551956049957,0.00415421982217673,0.007065707171104562,0.022001359626532546,0.0848915584410685,164.2841216090601
30000,10584,0.021916063834553356,0.0982142383189068,0.21936870312548204,0.015991220482223917,0.03379343184523734,0.035990246343099074,0.14479085007032325,0.09821423827385416,0.21936870310622822,0.015991220521484075,0.03379343180670018,0.03599024634422539,0.14479085015563306,0.0036370551022349494,0.006094109026526902,0.01780048524608902,0.07195344862655399,164.38579991902225
40000,10584,0.02177544206969344,0.09025807023859349,0.2058609420543732,0.014731900392192935,0.03149153119682131,0.032897867589276666,0.14113162211794755,0.09025807020705663,0.20586094234571709,0.014731900382860602,0.03149153122284723,0.03289786758955824,0.1411316229738365,0.003413443555280079,0.005754085981404656,0.015480763229449263,0.0733465959376516,163.96367701306008
50000,10584,0.022398059026465574,0.08689171091138821,0.19897023555643034,0.014018542584300929,0.02976028399441186,0.032336869107408676,0.13754675948642173,0.08689171040679862,0.1989702356218825,0.014018542565958069,0.029760283954284667,0.03233686918737712,0.13754676008592515,0.0032323859847222043,0.005422922202595452,0.015257287310655999,0.06504906172454966,167.46806907188147
60000,10584,0.024294529882001318,0.08244282919983925,0.19198947563939509,0.013255196496652818,0.028232507267076584,0.031057609409904804,0.13802001250032975,0.08244282905792343,0.19198947557449636,0.013255196474448302,0.028232507259329253,0.03105760935133637,0.13802001238843728,0.0030408459484750953,0.005125826740050214,0.013710759249631983,0.06454147522143965,167.2611690349877
70000,10584,0.025458093380199314,0.08133744106361204,0.18862957168167555,0.013111532690226163,0.027865303622766655,0.029499971941507684,0.13257982300597637,0.08133744110641206,0.18862957192872762,0.013111532633588557,0.027865303733966812,0.0294999720110577,0.1325798231835995,0.003003014405251463,0.005094703545377748,0.014008042343609873,0.065456723216481,167.7769917191472
79999,10584,0.026847675714560152,0.07920415554862985,0.18436994641091234,0.012806724645370362,0.02731303949941116,0.027929936784149928,0.12864144651846235,0.07920415541121929,0.18436994653099237,0.012806724639577879,0.02731303957797374,0.027929936796257826,0.12864144694379295,0.002940543296615875,0.0049936009971009955,0.012658347318143227,0.05975966460200838,167.76512564113364
