checkpoint_step,evaluated_frames,test_flow_loss,action_norm_mae,action_norm_rmse,joint_chunk_mae_rad,joint_chunk_rmse_rad,gripper_chunk_mae,gripper_chunk_rmse,joint_first_mae_rad,joint_first_rmse_rad,gripper_first_mae,gripper_first_rmse,evaluation_seconds
10000,4032,0.03365698057773804,0.1358380714283576,0.2855340032925722,0.03860973982888014,0.07974573937565549,0.05079326460707105,0.15211500969486488,0.00901550889308744,0.01578456946456826,0.01932666288981665,0.0439009211066524,205.4699140880257
20000,4032,0.030868134659249334,0.11744307182019666,0.2526525168670743,0.033354914222174493,0.06956673994979407,0.04079065662919588,0.13832701801494843,0.007170186689030591,0.012608828723335503,0.013068365722632272,0.03140449306644737,186.5797665149439
30000,4032,0.029313672909564856,0.10812526273703764,0.2313427033074351,0.030842324674906645,0.06294867183912274,0.0337546659851565,0.12081270251760956,0.007020476059840312,0.012405633231180135,0.010036703801320289,0.024005318209967767,185.75005231506657
40000,4032,0.02967419442720711,0.1020514553856282,0.2214992764594266,0.029035110601863895,0.059538919126664674,0.03237171977987543,0.12149941214827943,0.006527980464054462,0.011488463137668176,0.010202954414934438,0.02462897437154501,186.03071704600006
50000,4032,0.030453563828597822,0.09999583088275459,0.21802587808230323,0.028509768956000842,0.05870864305525028,0.029830709330752374,0.11401305858412421,0.006530055667214569,0.011556094699388023,0.009133403298850653,0.021394880091732356,186.0162710410077
60000,4032,0.03169888995166513,0.09815656769843328,0.21613236472699116,0.027885241390051756,0.05772782879822723,0.030470116464568982,0.11707508972089395,0.006369079229561295,0.011285514108435792,0.008846806851030875,0.020025305686082524,186.87836367601994
70000,4032,0.032742444286677275,0.09886251181837112,0.216724470057675,0.028105906840591204,0.05819518269972978,0.030156413005251022,0.11448985102536816,0.006474064749638104,0.011421983941600213,0.008929814760377335,0.01997412357778292,186.76238004898187
79999,4032,0.0335801566707059,0.09564045541698024,0.21005982376110177,0.027249705780491806,0.056255735701204054,0.02863719717429448,0.11274562776181714,0.006302433011075587,0.011079560691840736,0.008445968316721966,0.01913782822720489,186.13445522310212
